"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 04 17:48:44 IST 2025","Thu Dec 04 17:49:57 IST 2025","73486","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyGradeWiseAvgValue_Yearly_WarehouseRental_TC4512","verifyGradeWiseAvgValue_Yearly_WarehouseRental_TC4512",""
"skipped","Thu Dec 04 17:59:24 IST 2025","Thu Dec 04 17:59:24 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyName_FirstGraph_TC8520","verifyName_FirstGraph_TC8520",""
"skipped","Thu Dec 04 17:58:09 IST 2025","Thu Dec 04 17:58:09 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","VerifyHeaderBarActive_3358","VerifyHeaderBarActive_3358",""
"skipped","Thu Dec 04 14:26:59 IST 2025","Thu Dec 04 14:26:59 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkShowResultsInDDRentMallWise_5282Test","checkShowResultsInDDRentMallWise_5282Test",""
"broken","Thu Dec 04 14:31:33 IST 2025","Thu Dec 04 14:32:34 IST 2025","61457","Retail sector failed test cases Suite","Test","markets.DashboardPageTest","markets.DashboardPageTest","verifyTransactionDataOnMap_MKT_I385","verifyTransactionDataOnMap_MKT_I385",""
"passed","Thu Dec 04 15:33:17 IST 2025","Thu Dec 04 15:33:45 IST 2025","27662","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","varifyMultiMapLayerCheckBoxes_4359Test","varifyMultiMapLayerCheckBoxes_4359Test",""
"passed","Thu Dec 04 16:07:22 IST 2025","Thu Dec 04 16:07:47 IST 2025","24631","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyAvgPropertiesTransactionRateBox_TC6400","verifyAvgPropertiesTransactionRateBox_TC6400",""
"passed","Thu Dec 04 16:54:43 IST 2025","Thu Dec 04 16:56:33 IST 2025","109392","Retail sector failed test cases Suite","Test","markets.PersonalInfoPageTest","markets.PersonalInfoPageTest","PersonalInfoPageFxntiesMKT_I243","PersonalInfoPageFxntiesMKT_I243",""
"passed","Thu Dec 04 16:47:30 IST 2025","Thu Dec 04 16:48:03 IST 2025","32151","Retail sector failed test cases Suite","Test","markets.RequestDemoPageTest","markets.RequestDemoPageTest","verifyAllButtonsFxnRequestDemoPage_MKT_I257","verifyAllButtonsFxnRequestDemoPage_MKT_I257",""
"broken","Thu Dec 04 17:01:12 IST 2025","Thu Dec 04 17:01:57 IST 2025","44459","Retail sector failed test cases Suite","Test","markets.ForgotPasswordPageTest","markets.ForgotPasswordPageTest","verifyLoginBtn_4198","verifyLoginBtn_4198",""
"skipped","Thu Dec 04 17:53:39 IST 2025","Thu Dec 04 17:53:39 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyNeighborhoodWiseAvgValue_WarehouseRental_TC4519","verifyNeighborhoodWiseAvgValue_WarehouseRental_TC4519",""
"skipped","Thu Dec 04 16:35:14 IST 2025","Thu Dec 04 16:35:14 IST 2025","1","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","VerifyValueRecordTypeColumnInBlueColor_Value_PropertyTransactionsTable_TC9595","VerifyValueRecordTypeColumnInBlueColor_Value_PropertyTransactionsTable_TC9595",""
"skipped","Thu Dec 04 14:29:42 IST 2025","Thu Dec 04 14:29:42 IST 2025","1","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","verifyPaginationButtonFxnalityProperty_7419Test","verifyPaginationButtonFxnalityProperty_7419Test",""
"skipped","Thu Dec 04 17:58:37 IST 2025","Thu Dec 04 17:58:37 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyTotalLandAreaForCurrentYear_TC8187","verifyTotalLandAreaForCurrentYear_TC8187",""
"passed","Thu Dec 04 14:33:57 IST 2025","Thu Dec 04 14:33:57 IST 2025","0","Retail sector failed test cases Suite","Test","markets.LandingPageTest","markets.LandingPageTest","createNewSettings","createNewSettings",""
"skipped","Thu Dec 04 18:07:15 IST 2025","Thu Dec 04 18:07:15 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","VerifyExcelColumns_PropertiesTable_TC9075","VerifyExcelColumns_PropertiesTable_TC9075",""
"skipped","Thu Dec 04 17:52:09 IST 2025","Thu Dec 04 17:52:09 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyGradeWisePropertyCounts_WarehouseRental_TC9677","verifyGradeWisePropertyCounts_WarehouseRental_TC9677",""
"skipped","Thu Dec 04 18:01:33 IST 2025","Thu Dec 04 18:01:33 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyRecordsDescriptionDisplayedInPagination_NeighborhoodTable_TC8891","verifyRecordsDescriptionDisplayedInPagination_NeighborhoodTable_TC8891",""
"broken","Thu Dec 04 14:43:13 IST 2025","Thu Dec 04 14:43:46 IST 2025","32878","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkCategoryMapLayer_4350Test","checkCategoryMapLayer_4350Test",""
"skipped","Thu Dec 04 14:29:05 IST 2025","Thu Dec 04 14:29:05 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","varifyRentMallWiseTableTitleWithCount_5272Test","varifyRentMallWiseTableTitleWithCount_5272Test",""
"skipped","Thu Dec 04 14:24:11 IST 2025","Thu Dec 04 14:24:11 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkPropertyChipAndCrossOnMapArabic_3849Test","checkPropertyChipAndCrossOnMapArabic_3849Test",""
"skipped","Thu Dec 04 16:33:05 IST 2025","Thu Dec 04 16:33:05 IST 2025","1","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyUnits_TotalUnitTranactionBox_TC9561","verifyUnits_TotalUnitTranactionBox_TC9561",""
"skipped","Thu Dec 04 18:01:41 IST 2025","Thu Dec 04 18:01:41 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyRecordsDescriptionDisplayedInPagination_PropertiesTable_TC8892","verifyRecordsDescriptionDisplayedInPagination_PropertiesTable_TC8892",""
"broken","Thu Dec 04 14:47:37 IST 2025","Thu Dec 04 14:49:20 IST 2025","103074","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkCollageExpendIconAterGlobalSearch_3517Test","checkCollageExpendIconAterGlobalSearch_3517Test",""
"skipped","Thu Dec 04 16:29:06 IST 2025","Thu Dec 04 16:29:06 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyNextBtnFxnality_PropertyTransactionTable_TC7316","verifyNextBtnFxnality_PropertyTransactionTable_TC7316",""
"skipped","Thu Dec 04 16:01:45 IST 2025","Thu Dec 04 16:01:45 IST 2025","0","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkDevloperIfNotUploaded_PropertyDetailsPage_8351Test","checkDevloperIfNotUploaded_PropertyDetailsPage_8351Test",""
"broken","Thu Dec 04 16:13:04 IST 2025","Thu Dec 04 16:14:18 IST 2025","74604","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyHeaderCountDisplayed_UnitTransactionsTable_TC7408","verifyHeaderCountDisplayed_UnitTransactionsTable_TC7408",""
"broken","Thu Dec 04 17:23:41 IST 2025","Thu Dec 04 17:24:33 IST 2025","51932","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyDefaultSelectedValue_RentUnitSizeWiseTable_WarehouseRental_TC4572","verifyDefaultSelectedValue_RentUnitSizeWiseTable_WarehouseRental_TC4572",""
"skipped","Thu Dec 04 16:30:56 IST 2025","Thu Dec 04 16:30:56 IST 2025","1","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyLastBtnFxnality_UnitTransactionTable_TC7323","verifyLastBtnFxnality_UnitTransactionTable_TC7323",""
"broken","Thu Dec 04 17:16:06 IST 2025","Thu Dec 04 17:16:41 IST 2025","35484","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyAverageRentRateBoxForCurrentYear_TC10530","verifyAverageRentRateBoxForCurrentYear_TC10530",""
"skipped","Thu Dec 04 17:55:37 IST 2025","Thu Dec 04 17:55:37 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyTableCounts_Arabic_ProjectsTable_WarehouseRental_TC6964","verifyTableCounts_Arabic_ProjectsTable_WarehouseRental_TC6964",""
"broken","Thu Dec 04 14:10:29 IST 2025","Thu Dec 04 14:11:42 IST 2025","73075","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkAverageValuesInDepartments_7466Test","checkAverageValuesInDepartments_7466Test",""
"skipped","Thu Dec 04 16:20:38 IST 2025","Thu Dec 04 16:20:38 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyShowOnMapLabelAppearsOnHover_UnitTransactionsTable_TC_","verifyShowOnMapLabelAppearsOnHover_UnitTransactionsTable_TC_",""
"skipped","Thu Dec 04 17:56:26 IST 2025","Thu Dec 04 17:56:26 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyTop5NeighborhoodsBox_TC4516","verifyTop5NeighborhoodsBox_TC4516",""
"broken","Thu Dec 04 17:35:29 IST 2025","Thu Dec 04 17:36:01 IST 2025","32331","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyExcelColumns_RentUnitSizeWiseTable_TC5342","verifyExcelColumns_RentUnitSizeWiseTable_TC5342",""
"failed","Thu Dec 04 19:16:56 IST 2025","Thu Dec 04 19:18:30 IST 2025","94367","Retail sector failed test cases Suite","Test","markets.ResetPasswordTest","markets.ResetPasswordTest","verifyFxntiesResetPasswordMKT_I254","verifyFxntiesResetPasswordMKT_I254",""
"broken","Thu Dec 04 17:07:29 IST 2025","Thu Dec 04 17:09:38 IST 2025","128533","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","backToMainPageFromPropertyDetailsPage_TC5525","backToMainPageFromPropertyDetailsPage_TC5525",""
"broken","Thu Dec 04 16:00:02 IST 2025","Thu Dec 04 16:00:52 IST 2025","49805","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkConstructionStatus_PropertyDetailsPage_8184Test","checkConstructionStatus_PropertyDetailsPage_8184Test",""
"skipped","Thu Dec 04 17:56:34 IST 2025","Thu Dec 04 17:56:34 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyHeaderBarContent_TC3302","verifyHeaderBarContent_TC3302",""
"skipped","Thu Dec 04 18:00:52 IST 2025","Thu Dec 04 18:00:52 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyShowWarningWhenAllGraphOptionsDeselected_1stGraph_TC8546","verifyShowWarningWhenAllGraphOptionsDeselected_1stGraph_TC8546",""
"passed","Thu Dec 04 16:46:13 IST 2025","Thu Dec 04 16:47:16 IST 2025","62748","Retail sector failed test cases Suite","Test","markets.RequestDemoPageTest","markets.RequestDemoPageTest","verifyRequestDemoPage_MKT_I257","verifyRequestDemoPage_MKT_I257",""
"skipped","Thu Dec 04 16:27:42 IST 2025","Thu Dec 04 16:27:42 IST 2025","3","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyPaginationByInput_PropertyTransactionTable_TC7252","verifyPaginationByInput_PropertyTransactionTable_TC7252",""
"skipped","Thu Dec 04 16:23:16 IST 2025","Thu Dec 04 16:23:16 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyPreviousPageLabelAppearsOnHover_UnitTransactionsTable_TC6668","verifyPreviousPageLabelAppearsOnHover_UnitTransactionsTable_TC6668",""
"skipped","Thu Dec 04 16:18:02 IST 2025","Thu Dec 04 16:18:02 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyTrailing12MonthText_AvgPropertiesTransactionRateBox_TC6462","verifyTrailing12MonthText_AvgPropertiesTransactionRateBox_TC6462",""
