"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 03 12:51:18 IST 2025","Wed Dec 03 12:51:20 IST 2025","1969","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkCategoryClusterInfoLegend_6004Test","checkCategoryClusterInfoLegend_6004Test",""
"broken","Wed Dec 03 13:22:36 IST 2025","Wed Dec 03 13:23:08 IST 2025","32200","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkSingleDecimalLandArea_PropDetailsPg_8175Test","checkSingleDecimalLandArea_PropDetailsPg_8175Test",""
"failed","Wed Dec 03 13:15:29 IST 2025","Wed Dec 03 13:16:41 IST 2025","71380","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkMunicipalLandZone_PropertyDetailsPage_8183Test","checkMunicipalLandZone_PropertyDetailsPage_8183Test",""
"skipped","Wed Dec 03 13:36:03 IST 2025","Wed Dec 03 13:36:03 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyDateRangeDescription_AvgUnitsTransactionRateBox_TC6460","verifyDateRangeDescription_AvgUnitsTransactionRateBox_TC6460",""
"skipped","Wed Dec 03 13:37:42 IST 2025","Wed Dec 03 13:37:42 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyPreviousPageLabelAppearsOnHover_PropertyTransactionsTable_TC6667","verifyPreviousPageLabelAppearsOnHover_PropertyTransactionsTable_TC6667",""
"passed","Wed Dec 03 11:07:55 IST 2025","Wed Dec 03 11:09:30 IST 2025","94450","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkAverageValuesInRentMallWise_7046Test","checkAverageValuesInRentMallWise_7046Test",""
"passed","Wed Dec 03 14:05:35 IST 2025","Wed Dec 03 14:05:36 IST 2025","1801","Retail sector failed test cases Suite","Test","markets.PersonalInfoPageTest","markets.PersonalInfoPageTest","verifyPersonalInfoContents","verifyPersonalInfoContents",""
"broken","Wed Dec 03 12:42:17 IST 2025","Wed Dec 03 12:43:51 IST 2025","93933","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","exploreProjectAndCheckTypeOnMap_6169Test","exploreProjectAndCheckTypeOnMap_6169Test",""
"passed","Wed Dec 03 12:52:20 IST 2025","Wed Dec 03 12:52:50 IST 2025","29946","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkGlobalSearchWatermark_3610Test","checkGlobalSearchWatermark_3610Test",""
"skipped","Wed Dec 03 11:58:24 IST 2025","Wed Dec 03 11:58:24 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","varifyPropertiesTableTitleWithCount_7411Test","varifyPropertiesTableTitleWithCount_7411Test",""
"failed","Wed Dec 03 13:47:01 IST 2025","Wed Dec 03 13:47:55 IST 2025","53952","Retail sector failed test cases Suite","Test","markets.OfficeSectorTest","markets.OfficeSectorTest","check3rdBoxSupplyUnderConstructionPipeline_7496Test","check3rdBoxSupplyUnderConstructionPipeline_7496Test",""
"passed","Wed Dec 03 12:44:00 IST 2025","Wed Dec 03 12:44:49 IST 2025","49462","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","globalAmenitySearchLatLong_3622Test","globalAmenitySearchLatLong_3622Test",""
"broken","Wed Dec 03 14:07:14 IST 2025","Wed Dec 03 14:07:19 IST 2025","5271","Retail sector failed test cases Suite","Test","markets.ForgotPasswordPageTest","markets.ForgotPasswordPageTest","verifyResetPasswordFxnlities","verifyResetPasswordFxnlities",""
"passed","Wed Dec 03 11:12:43 IST 2025","Wed Dec 03 11:13:16 IST 2025","32922","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkDefaultSelectedOptionShowResultsDDDepartments_7461Test","checkDefaultSelectedOptionShowResultsDDDepartments_7461Test",""
"broken","Wed Dec 03 12:20:09 IST 2025","Wed Dec 03 12:20:42 IST 2025","32976","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkFullReportViewOfPropDetailsPage_4324Test","checkFullReportViewOfPropDetailsPage_4324Test",""
"skipped","Wed Dec 03 11:59:36 IST 2025","Wed Dec 03 11:59:36 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","verifyPaginationButtonFxnalityRentMallWise_4139_Test","verifyPaginationButtonFxnalityRentMallWise_4139_Test",""
"skipped","Wed Dec 03 11:57:44 IST 2025","Wed Dec 03 11:57:44 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkTenantsTableRows_RecordCount_7430Test","checkTenantsTableRows_RecordCount_7430Test",""
"skipped","Wed Dec 03 13:38:05 IST 2025","Wed Dec 03 13:38:05 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyFirstPageLabelAppearsOnHover_PropertyTransactionsTable_TC6661","verifyFirstPageLabelAppearsOnHover_PropertyTransactionsTable_TC6661",""
"passed","Wed Dec 03 14:05:53 IST 2025","Wed Dec 03 14:06:58 IST 2025","65061","Retail sector failed test cases Suite","Test","markets.ForgotPasswordPageTest","markets.ForgotPasswordPageTest","verifyTestDataInForgotPasswordMKT_I72","verifyTestDataInForgotPasswordMKT_I72",""
"failed","Wed Dec 03 12:44:59 IST 2025","Wed Dec 03 12:46:02 IST 2025","62971","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","resetCatchment_1846Test","resetCatchment_1846Test",""
